gene,drugGene,value
PTPRC,VINORELBINE,32.0
TSC1,VINORELBINE,32.0
PIK3CB,VINORELBINE,32.0
BTK,VINORELBINE,32.0
LIMK1,VINORELBINE,48.0
UGT1A8,VINORELBINE,48.0
UGT1A6,VINORELBINE,48.0
PIK3R2,VINORELBINE,48.0
ATXN2,VINORELBINE,48.0
FYN,VINORELBINE,64.0
ATP7A,VINORELBINE,64.0
NQO1,VINORELBINE,80.0
PIK3CG,VINORELBINE,80.0
JAK2,VINORELBINE,80.0
LCK,VINORELBINE,80.0
TUBA3C,VINORELBINE,96.0
NRAS,VINORELBINE,96.0
MTOR,VINORELBINE,96.0
TUBB4A,VINORELBINE,96.0
LYN,VINORELBINE,112.0
HRAS,VINORELBINE,128.0
UGT1A1,VINORELBINE,128.0
TUBA3E,VINORELBINE,128.0
TUBA3D,VINORELBINE,128.0
TUBA1C,VINORELBINE,128.0
TUBA1B,VINORELBINE,128.0
TUBA1A,VINORELBINE,128.0
SRC,VINORELBINE,128.0
TUBB8,VINORELBINE,128.0
TUBB6,VINORELBINE,128.0
TUBA4A,VINORELBINE,128.0
TUBB2A,VINORELBINE,128.0
TUBB2B,VINORELBINE,128.0
TUBB4B,VINORELBINE,128.0
TUBB3,VINORELBINE,144.0
YES1,VINORELBINE,144.0
AKT1,VINORELBINE,176.0
TUBB1,VINORELBINE,176.0
MET,VINORELBINE,224.0
PTEN,VINORELBINE,304.0
TYMS,VINORELBINE,336.0
PIK3CA,VINORELBINE,400.0
KRAS,VINORELBINE,464.0
ACTB,COLCHICINE,16.0
PRKD3,COLCHICINE,16.0
AKT2,COLCHICINE,32.0
UGT1A4,COLCHICINE,32.0
UGT1A5,COLCHICINE,32.0
SFTPA1,COLCHICINE,32.0
PTPRC,COLCHICINE,32.0
TSC1,COLCHICINE,32.0
PIK3CB,COLCHICINE,32.0
BTK,COLCHICINE,32.0
LIMK1,COLCHICINE,48.0
UGT1A8,COLCHICINE,48.0
UGT1A6,COLCHICINE,48.0
PIK3R2,COLCHICINE,48.0
ATXN2,COLCHICINE,48.0
FYN,COLCHICINE,64.0
ATP7A,COLCHICINE,64.0
NQO1,COLCHICINE,80.0
PIK3CG,COLCHICINE,80.0
JAK2,COLCHICINE,80.0
LCK,COLCHICINE,80.0
TUBA3C,COLCHICINE,96.0
NRAS,COLCHICINE,96.0
MTOR,COLCHICINE,96.0
TUBB4A,COLCHICINE,96.0
LYN,COLCHICINE,112.0
HRAS,COLCHICINE,128.0
UGT1A1,COLCHICINE,128.0
TUBA3E,COLCHICINE,128.0
TUBA3D,COLCHICINE,128.0
TUBA1C,COLCHICINE,128.0
TUBA1B,COLCHICINE,128.0
TUBA1A,COLCHICINE,128.0
SRC,COLCHICINE,128.0
TUBB8,COLCHICINE,128.0
TUBB6,COLCHICINE,128.0
TUBA4A,COLCHICINE,128.0
TUBB2A,COLCHICINE,128.0
TUBB2B,COLCHICINE,128.0
TUBB4B,COLCHICINE,128.0
TUBB3,COLCHICINE,144.0
YES1,COLCHICINE,144.0
AKT1,COLCHICINE,176.0
TUBB1,COLCHICINE,176.0
MET,COLCHICINE,224.0
PTEN,COLCHICINE,304.0
TYMS,COLCHICINE,336.0
PIK3CA,COLCHICINE,400.0
KRAS,COLCHICINE,464.0
ACTB,VORINOSTAT,16.0
PRKD3,VORINOSTAT,16.0
AKT2,VORINOSTAT,32.0
UGT1A4,VORINOSTAT,32.0
UGT1A5,VORINOSTAT,32.0
SFTPA1,VORINOSTAT,32.0
PTPRC,VORINOSTAT,32.0
TSC1,VORINOSTAT,32.0
PIK3CB,VORINOSTAT,32.0
BTK,VORINOSTAT,32.0
LIMK1,VORINOSTAT,48.0
UGT1A8,VORINOSTAT,48.0
UGT1A6,VORINOSTAT,48.0
PIK3R2,VORINOSTAT,48.0
ATXN2,VORINOSTAT,48.0
FYN,VORINOSTAT,64.0
ATP7A,VORINOSTAT,64.0
NQO1,VORINOSTAT,80.0
PIK3CG,VORINOSTAT,80.0
JAK2,VORINOSTAT,80.0
LCK,VORINOSTAT,80.0
TUBA3C,VORINOSTAT,96.0
NRAS,VORINOSTAT,96.0
MTOR,VORINOSTAT,96.0
TUBB4A,VORINOSTAT,96.0
LYN,VORINOSTAT,112.0
HRAS,VORINOSTAT,128.0
UGT1A1,VORINOSTAT,128.0
TUBA3E,VORINOSTAT,128.0
TUBA3D,VORINOSTAT,128.0
TUBA1C,VORINOSTAT,128.0
TUBA1B,VORINOSTAT,128.0
TUBA1A,VORINOSTAT,128.0
SRC,VORINOSTAT,128.0
TUBB8,VORINOSTAT,128.0
TUBB6,VORINOSTAT,128.0
TUBA4A,VORINOSTAT,128.0
TUBB2A,VORINOSTAT,128.0
TUBB2B,VORINOSTAT,128.0
TUBB4B,VORINOSTAT,128.0
TUBB3,VORINOSTAT,144.0
YES1,VORINOSTAT,144.0
AKT1,VORINOSTAT,176.0
TUBB1,VORINOSTAT,176.0
MET,VORINOSTAT,224.0
PTEN,VORINOSTAT,304.0
TYMS,VORINOSTAT,336.0
PIK3CA,VORINOSTAT,400.0
KRAS,VORINOSTAT,464.0
ACTB,DASATINIB,16.0
PRKD3,DASATINIB,16.0
AKT2,DASATINIB,32.0
UGT1A4,DASATINIB,32.0
UGT1A5,DASATINIB,32.0
SFTPA1,DASATINIB,32.0
PTPRC,DASATINIB,32.0
TSC1,DASATINIB,32.0
PIK3CB,DASATINIB,32.0
BTK,DASATINIB,32.0
LIMK1,DASATINIB,48.0
UGT1A8,DASATINIB,48.0
UGT1A6,DASATINIB,48.0
PIK3R2,DASATINIB,48.0
ATXN2,DASATINIB,48.0
FYN,DASATINIB,64.0
ATP7A,DASATINIB,64.0
NQO1,DASATINIB,80.0
PIK3CG,DASATINIB,80.0
JAK2,DASATINIB,80.0
LCK,DASATINIB,80.0
TUBA3C,DASATINIB,96.0
NRAS,DASATINIB,96.0
MTOR,DASATINIB,96.0
TUBB4A,DASATINIB,96.0
LYN,DASATINIB,112.0
HRAS,DASATINIB,128.0
UGT1A1,DASATINIB,128.0
TUBA3E,DASATINIB,128.0
TUBA3D,DASATINIB,128.0
TUBA1C,DASATINIB,128.0
TUBA1B,DASATINIB,128.0
TUBA1A,DASATINIB,128.0
SRC,DASATINIB,128.0
TUBB8,DASATINIB,128.0
TUBB6,DASATINIB,128.0
TUBA4A,DASATINIB,128.0
TUBB2A,DASATINIB,128.0
TUBB2B,DASATINIB,128.0
TUBB4B,DASATINIB,128.0
TUBB3,DASATINIB,144.0
YES1,DASATINIB,144.0
AKT1,DASATINIB,176.0
TUBB1,DASATINIB,176.0
MET,DASATINIB,224.0
PTEN,DASATINIB,304.0
TYMS,DASATINIB,336.0
PIK3CA,DASATINIB,400.0
KRAS,DASATINIB,464.0
ACTB,VINCRISTINE,19.0
PRKD3,VINCRISTINE,19.0
AKT2,VINCRISTINE,38.0
UGT1A4,VINCRISTINE,38.0
UGT1A5,VINCRISTINE,38.0
SFTPA1,VINCRISTINE,38.0
PTPRC,VINCRISTINE,38.0
TSC1,VINCRISTINE,38.0
PIK3CB,VINCRISTINE,38.0
BTK,VINCRISTINE,38.0
LIMK1,VINCRISTINE,57.0
UGT1A8,VINCRISTINE,57.0
UGT1A6,VINCRISTINE,57.0
PIK3R2,VINCRISTINE,57.0
ATXN2,VINCRISTINE,57.0
FYN,VINCRISTINE,76.0
ATP7A,VINCRISTINE,76.0
NQO1,VINCRISTINE,95.0
PIK3CG,VINCRISTINE,95.0
JAK2,VINCRISTINE,95.0
LCK,VINCRISTINE,95.0
TUBA3C,VINCRISTINE,114.0
NRAS,VINCRISTINE,114.0
MTOR,VINCRISTINE,114.0
TUBB4A,VINCRISTINE,114.0
LYN,VINCRISTINE,133.0
HRAS,VINCRISTINE,152.0
UGT1A1,VINCRISTINE,152.0
TUBA3E,VINCRISTINE,152.0
TUBA3D,VINCRISTINE,152.0
TUBA1C,VINCRISTINE,152.0
TUBA1B,VINCRISTINE,152.0
TUBA1A,VINCRISTINE,152.0
SRC,VINCRISTINE,152.0
TUBB8,VINCRISTINE,152.0
TUBB6,VINCRISTINE,152.0
TUBA4A,VINCRISTINE,152.0
TUBB2A,VINCRISTINE,152.0
TUBB2B,VINCRISTINE,152.0
TUBB4B,VINCRISTINE,152.0
TUBB3,VINCRISTINE,171.0
YES1,VINCRISTINE,171.0
AKT1,VINCRISTINE,209.0
TUBB1,VINCRISTINE,209.0
MET,VINCRISTINE,266.0
PTEN,VINCRISTINE,361.0
TYMS,VINCRISTINE,399.0
PIK3CA,VINCRISTINE,475.0
KRAS,VINCRISTINE,551.0
